ID,BasinID,Lat,Long,Rainfed croplands,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%),Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) ,Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m),Closed (>40%) broadleaved deciduous forest (>5m),Open (15-40%) broadleaved deciduous forest/woodland (>5m),Open (15-40%) needleleaved deciduous or evergreen forest (>5m),Mosaic forest or shrubland (50-70%) / grassland (20-50%),Mosaic grassland (50-70%) / forest or shrubland (20-50%) ,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)","Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)",Sparse (<15%) vegetation,"Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh, brackish or saline water",Bare areas,Water bodies
50,50,-13.7,31.79,0.000,0.000,0.021,0.000,0.174,0.650,0.000,0.002,0.002,0.146,0.006,0.000,0.000,0.000,0.000
51,51,-13.75,32.18,0.000,0.000,0.336,0.000,0.044,0.309,0.000,0.004,0.033,0.209,0.065,0.000,0.000,0.000,0.000
52,52,-13.69,31.9,0.000,0.000,0.070,0.000,0.033,0.665,0.000,0.000,0.000,0.232,0.000,0.000,0.000,0.000,0.000
53,53,-13.83,32.09,0.000,0.000,0.345,0.000,0.041,0.371,0.000,0.001,0.010,0.206,0.026,0.000,0.000,0.000,0.000
54,54,-13.94,31.97,0.000,0.000,0.389,0.000,0.013,0.297,0.000,0.000,0.001,0.281,0.020,0.000,0.000,0.000,0.000
55,55,-13.39,32.23,0.000,0.000,0.088,0.000,0.035,0.691,0.000,0.008,0.003,0.170,0.006,0.000,0.000,0.000,0.000
56,56,-13.16,32.43,0.000,0.000,0.002,0.000,0.054,0.836,0.000,0.000,0.000,0.108,0.000,0.000,0.000,0.000,0.000
57,57,-13.27,32.48,0.000,0.000,0.019,0.000,0.071,0.738,0.000,0.000,0.000,0.172,0.000,0.000,0.000,0.000,0.000
58,58,-13.51,32.55,0.000,0.000,0.577,0.000,0.014,0.152,0.000,0.005,0.020,0.190,0.041,0.000,0.000,0.000,0.001
59,59,-13.36,32.58,0.000,0.000,0.201,0.000,0.011,0.326,0.000,0.004,0.002,0.440,0.016,0.000,0.000,0.000,0.000
60,60,-13.46,32.71,0.000,0.000,0.548,0.000,0.028,0.136,0.000,0.003,0.016,0.242,0.027,0.000,0.000,0.000,0.000
61,61,-13.02,32.12,0.000,0.000,0.032,0.000,0.000,0.565,0.000,0.015,0.003,0.373,0.011,0.000,0.000,0.000,0.000
62,62,-12.94,32.31,0.000,0.000,0.159,0.000,0.025,0.555,0.000,0.000,0.000,0.260,0.000,0.000,0.000,0.000,0.000
