ID	Watershed	UZTWM	UZFWM	UZK	ZPERC	REXP	LZTWM	LZFSM	LZFPM	LZSK	LZPK	PFREE
215	215	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
216	216	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
217	217	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
218	218	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
219	219	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
220	220	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
221	221	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
222	222	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
223	223	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
224	224	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
225	225	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
226	226	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
227	227	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
228	228	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
229	229	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
230	230	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
231	231	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
232	232	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
233	233	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
234	234	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
235	235	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
236	236	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
237	237	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
238	238	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
239	239	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
240	240	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
241	241	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
242	242	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
243	243	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
244	244	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
245	245	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
246	246	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
247	247	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
248	248	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
249	249	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
250	250	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
251	251	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
252	252	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
253	253	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
254	254	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
255	255	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
256	256	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
257	257	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
258	258	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
259	259	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
260	260	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
261	261	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
262	262	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
263	263	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
264	264	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
265	265	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
266	266	67.167	40.805	0.44	307.006	2.11	252.306	24.865	125.442	0.163	0.018	0.211
